Fechas,Transporte aereo,Aviacion comercial,Aviacion general,Transporte carretero,Automoviles de pasajeros y camionetas,Automoviles de pasajeros,Motocicletas,Autobuses,Camiones pesados,Peatones,Otros,Transporte por ductos,Transporte ferroviario,Cruceros a nivel,Vias ferreas,"Transporte publico, total",Ferrocarril urbano y suburbano,Transporte por agua,Barcos de pasajeros,Embarcaciones de recreo,Barcos comerciales de pasajeros,Barcos comerciales de carga,"Muertes, total"
1990,866,39,770,44599,32693,24092,3244,32,705,6482,584,9,1297,130,1095,125,..,1051,0,865,..,..,47297
1995,963,168,734,41817,31991,22423,2227,33,648,5584,501,21,1146,81,935,274,186,829,0,829,..,..,44507
1996,1093,380,636,42063,32437,22505,2161,21,621,5449,609,53,1039,53,863,264,152,709,0,709,..,..,44732
1997,724,8,631,42013,32448,22199,2116,18,723,5321,573,10,1063,72,837,275,159,821,0,821,..,..,44412
1998,670,1,624,41501,31899,21194,2294,38,742,5228,540,21,1008,70,812,286,173,815,0,815,..,..,43863
1999,683,12,621,41717,32127,20862,2483,59,759,4939,596,22,932,70,745,299,196,734,0,734,..,..,43975
2000,764,92,596,41945,32225,20699,2897,22,754,4763,591,38,937,72,717,295,197,701,15,701,..,..,44276
2001,1166,531,562,42196,32043,20320,3197,34,708,4901,581,7,971,95,729,267,167,681,0,681,..,..,44873
2002,616,0,581,43005,32843,20569,3270,45,689,4851,642,12,951,69,725,182,89,890,48,750,..,..,45292
2003,699,22,633,42884,32271,19725,3714,41,726,4774,729,12,865,72,683,202,66,844,52,703,..,..,45121
2004,637,14,559,42836,31866,19192,4028,42,766,4675,732,23,891,72,690,177,81,815,55,676,..,..,45028
2005,603,22,563,43510,31549,18512,4576,58,804,4892,845,16,884,70,682,149,54,829,52,697,..,..,45641
2006,774,50,706,42708,30686,17925,4837,27,805,4795,786,19,903,74,723,162,41,883,91,710,..,..,45061
2007,540,1,496,41259,29072,16614,5174,36,805,4699,772,16,851,87,635,188,65,842,79,685,..,..,43347
2008,568,3,495,37423,25462,14646,5312,67,682,4414,768,8,804,70,575,172,84,854,65,709,..,..,39542
2009,548,52,479,33883,23447,13135,4462,26,499,4109,705,13,695,82,481,226,134,865,62,736,..,..,35978
2010,477,2,458,32999,22273,12491,4502,44,530,4302,709,19,734,74,519,221,120,821,87,672,..,..,35035
2011,493,0,452,32479,21316,12014,..,55,640,4457,699,12,682,58,493,228,132,904,96,758,..,..,34564
2012,449,0,437,33782,21779,12361,..,39,697,4818,729,10,673,62,475,264,150,765,84,651,..,..,35695
2013,430,9,391,32810,21164,11977,..,54,695,4779,701,9,700,75,505,266,144,650,26,560,..,..,34602
2014,439,0,419,32675,21022,11926,..,44,657,4884,756,19,769,60,555,236,135,674,14,610,..,..,34568
